སྨན་མིང་།	རང་བཞིན།	ཕན་ནུས།
ཐང་ཆེན་བཅུ་བ།	ཅུང་བསིལ། བཟི་མེད།	མཁྲིས་ཚད་གསར་རྙིང་རྒྱས་ཚད་སྟོངས་ཚད་དང་། །ཁྱད་པར་འགྲམས་འཁྲུགས་གབ་ཚད་རྙོགས་ཚད་རིགས། །གཉན་ཚད་གཟེར་ཐུང་ཆམ་རིམས་ལ་སོགས་པ། །ཚ་བའི་ནད་ཀུན་སྨིན་སྡུད་གསོད་པའི་མཆོག །
ཐང་དམར་བཅུ་པ།	བསིལ་བ། བཟི་མེད།	རླུང་ཁྲག་འཐབ་དང་ཁྲག་ཚད་འཇོམས་པར་བྱེད། །
ཐང་ཆེན་ཉེར་ལྔ།	ཅུང་བསིལ། བཟི་མེད།	དུག་དང་སྨུག་པོ་ཚད་རྙིང་བྱེར་བ་སྡུད། །འདུ་བ་ཚ་གྲང་སྙོམས་ལ་དང་ག་འབྱེད། །རླུང་མི་སྐྱེ་ལ་བད་ཀན་མཁྲིས་པ་སེལ། །སྦྱོར་བའི་རྒྱལ་བོ་གདོང་ནག་མཁས་པའི་ལུགས། །ཐང་དུ་གསུངས་ཀྱང་ཕྱེ་རིལ་ཆུ་བསྐོལ་དབུལ། །འདུས་རྟགས་ལུས་ལྕི་ཁ་སྐམ་དང་ག་འགག །ཕོ་བ་ན་ལ་རྩ་ཆུའི་ཚ་བ་སྐྱེས། །དེ་དུས་དངོས་གཞིའི་སྤྱི་སྨན་གང་འོསབསྟེན།<76>
ཐང་ཆེན་ཉེར་ལྔ་ཁ་ཚར་ཅན།	ཅུང་བསིལ། བཟི་མེད།	དུག་དང་། བད་ཀན་སྨུག་པོ། ཚད་པ་རྙིང་པ་སོགས་ལུས་ལ་བྱེར་བ་རྣམས་ཁོང་དུ་བསྡུ་ཞིང་། འདུ་བ་ཚ་གྲང་འཁྲུགས་པ་སྙོམས་པར་བྱེད་པ་དང་། རླུང་མི་སྐྱེ་ལ་བད་ཀན་དང་མཁྲིས་པའི་ནད་ཀྱང་སེལ་བར་བྱེད། དེ་མིན་ཟས་ཀྱི་དང་ག་འགག་པ་དང་། ཁོང་ཁྲག་ཤོར་བ། ཕོ་བ་དང་མཆིན་པར་ན་ཟུག་གཏོང་བ་སོགས་ལ་དམིགས་བསལ་གྱི་ཕན་ནུས་ལྡན་ཡོད། །
ཐང་ཕྲོམ་དཀར་པོའི་ཁཎྜ། (ཝང་ཏ་ཁཎྜ།)	བསིལ་བ། དུག་ཆེ།	ཟུག་གཟེར་གཅོག་ཅིང་གཉན་སྐྲངས་འཇོམས་པ་ཡིན། ཕྱི་ལུགས་གསོ་རིག་ལྟར་ན་སྨན་འདིའི་གྲུབ་ཆ་བླངས་ཏེ་ནད་ཐོག་སྐབས་སུ་སྦྲིད་སྨན་དུ་བཀོལ་སྤྱོད་བྱེད་བཞིན་མཆིས།
ཐིག་སྨན་ཆེན་མོ།	ཅུང་བསིལ། བཟི་ཅུང་ཡོད།	ཐིག་སྨན་གར་ཆོང་མིན་པའི་རྟ་ལ་སྐྱོན། །ཁོང་དུ་བསྟེན་པས་མེ་ལྟར་འཆིང་ནང་ནས། །དྲས་འབེབས་མོ་དགོས་རྩ་མདུད་གཞོམ་པ་གསོ། །གས་པ་སྦྱོར་ལ་ཆག་པ་རུས་མདུད་འགྲིགས། །རྡིབ་པ་འདེགས་ཤིང་གྲུམས་པ་ལུགས་སུ་ཚུད། །ཀླད་རྒྱ་རལ་ཚེམ་ཀླད་རྒྱུ་ཆད་པ་མཐུད། །ཀླད་མདོག་སྔོན་པོར་སོང་ན་རང་མདོག་དཀར། །ཀླད་སྐྱོན་ཁ་ལྐུགས་པ་ཡང་དབྱེ་བ་འབྱེད། །རུས་འཛེར་ཕྱིར་བུད་ཤའུ་ཟག་ལམ་འཚོབ། །མིག་འགྲིབ་པ་ལ་མཆོག་ཏུ་བསྔགས་པ་ཡིན། །འདི་ལས་གཞན་དུ་གབ་སྦས་ཡོད་རེ་ཀན། །<77>
ཐུན་གསུམ་ཆ་མཉམ་རིལ་བུ།	དྲོ་བ། བཟི་མེད། ན་མངལ་སྐྲུན་ཁྲག་སྐྲུན་ཐལ་བར་རློག །
ཐེངས་གསོས་དགུ་བ།	དྲོ་བ། བཟི་མེད།	རིམས་ཚད་ཚ་བའི་ནད་རིགས་ཡོད་དོ་ཅོག །ཁྱད་པར་ཚད་གསར་དག་ལ་འདི་རང་བསྔགས། །
ད་ཆུ་བདུན་སྦྱོར།	བསིལ་དྲོད་སྙོམས་པ། བཟི་མེད།	ལྕགས་ཀྱི་ཕ་བོང་བཞུ་ནུས་ན། །ཚ་གྲང་སྐྲན་རྣམས་སྨོས་ཅི་དགོས། །
ད་དྲིག་བརྒྱུད་པ།	བསིལ་དྲོད་སྙོམས་པ། བཟི་མེད།	ཚ་གྲང་ལྡན་འདུས་ལ་སོགས་དང་། །འཁྲུ་བ་གསར་དང་རྙིང་སོགས་མ་ལུས་གཅོད། །
ད་བྱིད་བརྒྱུད་སྦྱོར།	དྲོ་བ། བཟི་མེད།	ཆུ་སོ་ཟུག་དོང་རྡེའུ་ནད་ཆུ་འགགས་སོགས། །ཀུན་ལ་ཕན་པའི་མན་ངག་ཤིན་ཏུ་ཟབ། །
ད་བྱིད་དགུ་བ།	དྲོ་བ། བཟི་མེད།	ལུས་ཀྱི་སྟོབས་སྐྱེད་ཅིང་། མཁལ་མའི་དྲོད་སྐྱེས་ས་བོན་ཟད་པ་གསོ།
ད་བྱིད་བཅུ་གསུམ།	དྲོ་ཆེ། བཟི་ཆུང་།<79>	ད་བྱིད་བཅུ་གསུམ་པ་ཡི་སྦྱོར་བ་འདིས། །ཁུ་བ་ཟད་པ་འཕྲལ་དུ་སྐྱེད་བྱེད་དེ། །ས་བོན་གསོ་ཞིང་ཕོ་མཚན་རྒྱས་པར་བྱེད། །རྒན་པོ་ཡིན་ཡང་གཞོན་ནུ་ལྟ་བུར་སྤྱོད། །འདོད་པ་ཅི་འདོད་བཞིན་དུ་ལས་སུ་རུང་། །
ད་བྱིད་སྐྱིན་གོར།	དྲོ་ཆེ། བཟི་མེད།	ད་བྱིན་སྦྱིན་གོར་ནས་གསེབ་ཟླ་གཅིག་རིང་། །བསྙལ་ནས་བཏང་ན་ལུས་ཀྱི་སྟོབས་སྐྱེད་ཅིང་། །མཁལ་མའི་དྲོད་སྐྱེས་ས་བོན་ཟད་པ་གསོ། །
ད་ལིས་ཅུར་ནིས།	དྲོ་བ། བཟི་མེད།	གྲང་ནད་ཀུན་སེལ་ལྷག་པར་བད་ཀན་འཇོམས།
དེ་ལིས་འཇུ་བྱེད།	ཅུང་དྲོ་བ། བཟི་མེད།	ད་ལིས་འཇུ་བྱེད་རིལ་བུས་སྐྱ་རྦབ་འཇོམས། །
ད་ལིས་བློན་པོའི་སྦྱོར་བ།	དྲོ་བ། བཟི་མེད།	ཚད་ལྡན་སྦྱར་བས་འཁྲུ་སྐྱུག་དབུགས་མི་བདེ། །གཞུང་འབྲུམ་སྐྲུན་དང་སྐྱ་རྦབ་གློ་ནད་སེལ། །
ད་ལིས་སུམ་ཐང་།	བསིལ་དྲོད་སྙོམས་པ། བཟི་མེད།	སྙིང་འདར་མཆིན་རྒུད་མ་ཞུ་ངལ་བ་སེལ།
ད་ལིས་དྲུག་པ།	དྲོ་བ། བཟི་མེད།	ཚད་ལྡན་སྦྱར་བས་འཁྲུ་སྐྱུག་དབུགས་མི་བདེ། །གཞང་འབྲུམ་སྐྲུན་དང་གློ་ནད་སྐྱ་རྦབ་སེལ། །
ད་ལིས་བདུན་སྦྱོར།	བསིལ་དྲོད་སྙོམས་པ། བཟི་མེད།	སྙིང་ལ་རླུང་ཞུགས་ཡིད་མི་བདེ་བ་སེལ།
ད་ལིས་བརྒྱད་པ།	བསིལ་དྲོད་སྙོམས་པ། བཟི་མེད།	བད་ཀན་ནད་དང༌། མ་ཞུ་བ། ཕོ་བ་སྦོས་བརྒྱངས་བྱེད་པ། ཁ་ཟས་ལ་དང་ག་མེད། གློ་ལུ་དབུགས་བསགས་ལུས་པོ་སྐྲངས་སྦོས་ཆེ། སྐྱ་རྦབ་ཚ་གྲང་ལྡན་འདུས་ཆུ་འགག་སེལ།
ད་ལིས་བཅུ་དྲུག	བསིལ་དྲོད་སྙོམས་པ། བཟི་མེད།	སྦྲང་དང་བུ་རམ་རྟར་སྐྱོན་པས། སྨན་ནུས་མྱུར་དུ་འབྱིན་པར་བྱེད། །མ་ཞུ་གླང་ཐབས་ཕོ་བ་སྦོས། །ཚ་གྲང་འཐབ་པའི་ནད་རྣམས་དང༌། །སྟོད་འཚངས་བད་རླུང་མགོ་འཁོར་དང༌། །གློ་ལུ་སྐད་འགགས་ལུས་པོ་སྐྲངས། །སྐྱ་རྦབ་ས་ཆུ་མི་ཐུབ་པར། །སླེབ་པས་ཆོག་པ་མྱོང་བྱང་ཡིན། །<81>
ད་ལིས་བཅོ་བརྒྱད།	བསིལ་དྲོད་སྙོམས་པ། བཟི་མེད།	ད་ལིས་བཅོ་བརྒྱད་ཅེས་སུ་གྲགས་པ་འདིས། །སྤྱིར་དུ་རྩ་དཀར་ནད་དུ་གྱུར་བ་དང་། །སྒོས་སུ་ཡན་ལག་ཞ་སྦྲིད་སྐམ་པ་སོགས། །ནད་ཀུན་སེལ་བྱེད་སྨན་གྱི་ནོར་བུ་ཡིན། །
ད་ལིས་ཉེར་ལྔ།	བསིལ་དྲོད་སྙོམས་པ། བཟི་མེད།	མ་ཞུ་བད་ཀན་དང་ག་མི་བདེ་དང་། །འོར་དང་སྐྱ་རྦབ་དམུ་རྫིང་འཁྲུགས་པའི་ནད། །མཁལ་རྐེད་སྨད་ཀྱི་གྲང་རླུང་མ་ལུས་འཛོམས། །
དྭ་ཏྲིག་ཉེར་ལྔ།	བསིལ་བ། བཟི་མེད།	དྭ་ཏིག་ཉེར་ལྔའི་སྦྱོར་བ་འདིས། །ཚད་པ་རྒྱུ་མར་བབས་པའི་རིགས། །དམར་བཤལ་རྒྱུ་རིམས་རྒྱུ་རྒན་དང་། །སྨུག་པོ་ཐུར་བབས་ཚ་འཁྲུ་དང་། །གཉན་ནད་རྒྱུ་གཟེར་ལ་སོགས་པ། །རྒྱུ་ལོང་ནད་གྱུར་ཁྲག་བཤལ་རིགས། །དམར་སེར་སྐྱ་སོགས་འཁྲུ་བ་གཅོད། །
དྭངས་མ་གནས་འཇོག་ཁ་འཛིན་ཅན། །	བསིལ་དྲོད་སྙོམས་པ། བཟི་མེད།	དྭངས་མ་གནས་འཇོག་སེ་འབྲུ་སྟེང་། །དོམ་མཁྲིས་བསྣན་པ་ཚང་གིས་ཕུལ། །གཞང་འབྲུམ་ནད་ལ་མཆོག་ཏུ་ཕན། །
དྭངས་གནས་འཇམ་འབྲས་བསྣན་པ།	ཅུང་དྲོད། བཟི་མེད།	གྲང་བ་དཀར་པོ་འཛག་པར་ཤིན་ཏུ་ཕན།
དྭངས་མ་ཆུ་འདྲེན།	དྲོ་བ། བཟི་མེད།	ཆུ་རིགས་བཅོ་ལྔ་འདྲེན་ཞིང་སྐེམ་པར་བྱེད།
དར་ལྕེ་བཞི་ཐང་།	བསིལ་བ། བཟི་མེད།	ཚད་པའི་ནད་རིགས་མ་ལུས་སེལ་བར་བྱེད།
དྭངས་བཙོ།	དྲོ་བ། བཟི་མེད།	ཕོ་བ་དང་མཆིན་པའི་ནད་ཀྱི་ཐུན་མོང་གི་སྨན།
དར་ཕུག་བྲེ་ག་བཅུ་གསུམ།	དྲོ་བ། བཟི་མེད།	སྒང་ནད་མཁལ་རྐེད་འགྲམས་དང་འོར་ལྷུང་དང༌། །ཚ་གྲང་གང་གིས་འབྲས་བུ་སྐྲངས་པའི་ནད། །མ་ལུས་སེལ་བ་ཁོ་བོའི་མྱོང་གྲུབ་ཡིན། །
དུག་བཅོས་ངོ་མཚར་སྲོག་སྐྱོབ།	བསིལ་བ། བཟི་མེད།	ཚ་གྲང་སྦྱར་བའི་ཆིབས་པ་བསྐྱོན། །དུག་གི་ནད་ལ་བདུད་རྩི་འདྲ། །
